[WARN] 2024-09-29 09:27:47 ErrorPacket: Error: 1146-42S02: Table 'l2jgs.engine' doesn't exist
[WARN] 2024-09-29 09:27:47 ModsData: Can't load values from DB(conn=1135) Table 'l2jgs.engine' doesn't exist
[WARN] 2024-09-29 09:27:53 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:27:58 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:28:03 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:28:08 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:28:13 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:28:18 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:28:23 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:28:28 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:28:33 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:28:38 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:28:43 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:28:48 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:28:53 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:28:58 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:29:03 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:29:08 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:29:13 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:29:18 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:29:23 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:29:28 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:29:33 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:29:38 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:29:43 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:29:48 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:29:53 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:29:58 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:30:03 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:30:08 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:30:13 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:30:18 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:30:23 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:30:28 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:30:33 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:30:38 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:30:43 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:30:48 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:30:53 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:30:58 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:31:03 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:31:08 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:31:13 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:31:18 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:31:23 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:31:28 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:31:33 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:31:38 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:31:43 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:31:48 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:31:53 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:31:58 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:32:03 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:32:08 LoginServerThread: LoginServer not avaible, trying to reconnect...
