[WARN] 2024-09-29 09:35:40 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:35:45 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:35:50 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:35:55 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:36:00 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:36:05 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:36:10 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:36:15 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:36:20 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:36:25 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:36:30 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:36:35 LoginServerThread: LoginServer not avaible, trying to reconnect...
